ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.29,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.29  Recommandation :  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.10"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.28,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.28  Recommandation :  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.10"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.28,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.28  Recommandation :  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.10"
NuGet.0001,Le package NuGet est incompatible,Active,Mandatory,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.23.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.23.0  Recommandation :  Version prise en charge introuvable"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 8.0.23,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 8.0.23  Recommandation :  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,System.Text.Json 8.0.6,,,,,"System.Text.Json, 8.0.6  Recommandation :  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.10"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Invest.MVC.csproj,File,Invest.MVC.csproj,,,,,,,,Infrastructure cible actuelle: net8.0 Infrastructure cible recommandé: net10.0
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Startup.cs,80,16,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Startup.cs,65,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,options.IdleTimeout = TimeSpan.FromSeconds(10);
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Startup.cs,52,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.ExpireTimeSpan = TimeSpan.FromMinutes(5.0);
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Startup.cs,37,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.Lockout.DefaultLockoutTimeSpan = TimeSpan.FromMinutes(5);
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Infrastructure\Services\StockService.cs,51,12,T:System.Text.Json.JsonDocument,,,,,var jsonDocument = JsonDocument.Parse(jsonResponse);
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Infrastructure\Services\StockService.cs,51,12,T:System.Text.Json.JsonDocument,,,,,var jsonDocument = JsonDocument.Parse(jsonResponse);
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,Invest.MVC.csproj,File,Infrastructure\Services\StockService.cs,50,12,T:System.Net.Http.HttpContent,,,,,var jsonResponse = await response.Content.ReadAsStringAsync();
