Date;Value
2019-06-07;31.00
2019-06-14;31.84
2019-06-21;31.33
2019-06-28;32.98
2019-07-05;32.83
2019-07-12;33.56
2019-07-19;33.74
2019-07-26;34.97
2019-08-02;35.52
2019-08-09;36.00
2019-08-16;36.71
2019-08-23;35.93
2019-08-30;36.73
2019-09-06;37.10
2019-09-13;36.01
2019-09-20;35.99
2019-09-27;35.83
2019-10-04;36.73
2019-10-11;35.13
2019-10-18;34.84
2019-10-25;34.75
2019-11-01;34.42
2019-11-08;34.70
2019-11-15;34.49
2019-11-22;34.50
2019-11-29;35.57
2019-12-06;35.58
2019-12-13;30.48
2019-12-20;30.80
2019-12-27;31.00
2020-01-03;30.32
2020-01-10;30.56
2020-01-17;31.06
2020-01-24;31.13
2020-01-31;30.79
2020-02-07;31.22
2020-02-14;31.57
2020-02-21;31.91
2020-02-28;29.99
2020-03-06;32.50
2020-03-13;26.99
2020-03-20;28.97
2020-03-27;27.33
2020-04-03;27.80
2020-04-10;29.47
2020-04-17;32.25
2020-04-24;33.45
2020-05-01;31.01
2020-05-08;30.97
2020-05-15;30.05
2020-05-22;30.37
2020-05-29;31.16
2020-06-05;30.16
2020-06-12;31.07
