Date;Value;Currency
2019-06-07;1068.62;USD
2019-06-14;1086.30;USD
2019-06-21;1125.37;USD
2019-06-28;1082.80;USD
2019-07-05;1132.66;USD
2019-07-12;1145.34;USD
2019-07-19;1131.55;USD
2019-07-26;1245.22;USD
2019-08-02;1196.32;USD
2019-08-09;1188.90;USD
2019-08-16;1179.21;USD
2019-08-23;1153.58;USD
2019-08-30;1190.53;USD
2019-09-06;1206.32;USD
2019-09-13;1240.03;USD
2019-09-20;1238.75;USD
2019-09-27;1225.95;USD
2019-10-04;1210.96;USD
2019-10-11;1215.71;USD
2019-10-18;1244.28;USD
2019-10-25;1264.30;USD
2019-11-01;1272.23;USD
2019-11-08;1309.00;USD
2019-11-15;1333.54;USD
2019-11-22;1293.67;USD
2019-11-29;1304.09;USD
2019-12-06;1339.39;USD
2019-12-13;1346.87;USD
2019-12-20;1351.22;USD
2019-12-27;1354.64;USD
2020-01-03;1361.52;USD
2020-01-10;1428.96;USD
2020-01-17;1479.52;USD
2020-01-24;1466.17;USD
2020-01-31;1432.78;USD
2020-02-07;1479.11;USD
2020-02-14;1518.73;USD
2020-02-21;1483.46;USD
2020-02-28;1339.25;USD
2020-03-06;1295.74;USD
2020-03-13;1214.27;USD
2020-03-20;1068.21;USD
2020-03-27;1110.26;USD
2020-04-03;1092.70;USD
2020-04-10;1206.57;USD
2020-04-17;1279.00;USD
2020-04-24;1276.60;USD
2020-05-01;1317.32;USD
2020-05-08;1385.34;USD
2020-05-15;1373.06;USD
2020-05-22;1413.24;USD
2020-05-29;1433.52;USD
2020-06-05;1440.02;USD
2020-06-12;1412.92;USD
2020-06-19;1424.64;USD
2020-06-26;1362.54;USD
2020-07-03;1469.93;USD
2020-07-10;1539.01;USD
2020-07-17;1516.85;USD
2020-07-24;1508.21;USD
2020-07-31;1487.95;USD
2020-08-07;1515.12;USD
2020-08-14;1504.63;USD
2020-08-21;1575.57;USD
2020-08-28;1644.41;USD
2020-09-04;1581.21;USD
2020-09-11;1531.68;USD
2020-09-18;1460.41;USD
2020-09-25;1439.06;USD
2020-10-02;1455.60;USD
2020-10-09;1510.45;USD
2020-10-16;1567.70;USD
2020-10-23;1632.98;USD
2020-10-30;1616.11;USD
2020-11-06;1759.73;USD
2020-11-13;1772.26;USD
2020-11-20;1736.38;USD
2020-11-27;1787.02;USD
2020-12-04;1823.76;USD
2020-12-11;1774.80;USD
2020-12-18;1726.22;USD
2020-12-25;1734.16;USD
2021-01-01;1752.54;USD
2021-01-08;1797.83;USD
2021-01-15;1727.62;USD
2021-01-22;1892.56;USD
2021-01-29;1827.36;USD
2021-02-05;2088.83;USD
2021-02-12;2095.03;USD
2021-02-19;2088.81
2021-02-26;2021.91
2021-03-05;2097.07
2021-03-12;2050.00
2021-03-19;2026.96
2021-03-26;2024.73
