Date;Value
2020-06-05;185.95
2020-06-12;187.74
2020-06-19;195.15
2020-06-26;196.33
2020-07-03;206.26
2020-07-10;213.67
2020-07-17;202.88
2020-07-24;201.30
2020-07-31;205.01
2020-08-07;208.76
2020-08-14;208.90
2020-08-21;213.02
2020-08-28;228.91
2020-09-04;214.25
2020-09-11;204.16
2020-09-18;200.39
2020-09-25;207.82
2020-10-02;206.12
2020-10-09;215.81
2020-10-16;219.66
2020-10-23;216.23
2020-10-30;202.47
2020-11-06;223.72
2020-11-13;216.51
2020-11-20;210.39
2020-11-27;215.23
2020-12-04;214.36
2020-12-11;213.26
2020-12-18;218.59
2020-12-25;222.75
2021-01-01;222.42
2021-01-08;219.62
2021-01-15;212.65
2021-01-22;225.95
2021-01-29;231.96
2021-02-05;242.20
2021-02-12;244.99
2021-02-19;240.97
2021-02-26;232.38
2021-03-05;231.60
2021-03-12;235.75
2021-03-19;230.35
2021-03-26;236.48
2021-04-02;242.35
2021-04-09;255.85
2021-04-16;260.74
2021-04-23;261.15
2021-04-30;252.18
2021-05-07;252.46
2021-05-14;248.15
2021-05-21;245.17
2021-05-28;249.68
2021-06-04;250.79
2021-06-11;257.89
2021-06-18;259.43
2021-06-25;265.02
2021-07-02;277.65
2021-07-09;277.94
2021-07-16;280.75
2021-07-23;289.67
2021-07-30;284.91
2021-08-06;289.46
2021-08-13;293.56
2021-08-20;304.36
2021-08-27;299.72
2021-09-03;301.14
2021-09-10;295.71
2021-09-17;299.87
2021-09-24;299.35
2021-10-01;289.10
2021-10-08;294.85
2021-10-15;304.21
2021-10-22;309.16
2021-10-29;331.62
2021-11-05;336.06
2021-11-12;336.72
2021-11-19;343.11
2021-11-26;329.68
2021-12-03;323.01
2021-12-10;342.54
2021-12-17;323.80
2021-12-24;334.69
2021-12-31;336.33
2022-01-07;314.04
2022-01-14;310.20
2022-01-21;296.03
2022-01-28;308.26
2022-02-04;305.94
2022-02-11;295.04
2022-02-18;287.93
2022-02-25;297.31
2022-03-04;289.86
2022-03-11;280.07
2022-03-18;300.43
2022-03-25;303.68
2022-04-01;309.42
2022-04-08;296.97
2022-04-15;279.83
2022-04-22;274.03
2022-04-29;277.52
2022-05-06;274.73
2022-05-13;261.12
2022-05-20;252.56
2022-05-27;273.24
2022-06-03;270.02
2022-06-10;252.70
2022-06-17;247.65
2022-06-24;267.70
2022-07-01;259.58
2022-07-08;267.66
2022-07-15;256.72
2022-07-22;260.36
2022-07-29;280.74
2022-08-05;282.91
2022-08-12;281.91
