Date;Value
2019-06-07;367.95
2019-06-14;409.15
2019-06-21;431.50
2019-06-28;398.58
2019-07-05;410.59
2019-07-12;404.06
2019-07-19;431.05
2019-07-26;442.99
2019-08-02;438.95
2019-08-09;488.36
2019-08-16;476.54
2019-08-23;508.43
2019-08-30;512.82
2019-09-06;501.70
2019-09-13;449.23
2019-09-20;430.65
2019-09-27;404.90
2019-10-04;435.54
2019-10-11;434.98
2019-10-18;412.16
2019-10-25;414.58
2019-11-01;416.19
2019-11-08;393.75
2019-11-15;413.19
2019-11-22;418.26
2019-11-29;445.45
2019-12-06;483.35
2019-12-13;508.43
2019-12-20;513.22
2019-12-27;534.76
2020-01-03;525.07
2020-01-10;560.90
2020-01-17;594.57
2020-01-24;611.84
2020-01-31;616.33
2020-02-07;636.89
2020-02-14;704.18
2020-02-21;686.57
2020-02-28;623.22
2020-03-06;633.29
2020-03-13;546.47
2020-03-20;495.45
2020-03-27;590.00
2020-04-03;504.52
2020-04-10;584.72
2020-04-17;831.52
2020-04-24;908.61
2020-05-01;863.14
2020-05-08;989.06
2020-05-15;1082.93
2020-05-22;1154.20
2020-05-29;1044.97
2020-06-05;978.32
2020-06-12;1009.23
2020-06-19;1204.74
2020-06-26;1242.59
2020-07-03;1388.00
2020-07-10;1402.41
2020-07-17;1261.35
2020-07-24;1247.01
2020-07-31;1369.78
2020-08-07;1321.86
2020-08-14;1308.36
2020-08-21;1346.76
2020-08-28;1362.43
2020-09-04;1270.00
2020-09-11;1224.89
2020-09-18;1190.00
2020-09-25;1286.82
2020-10-02;1371.56
2020-10-09;1438.68
2020-10-16;1412.10
2020-10-23;1348.76
2020-10-30;1228.23
2020-11-06;1361.45
2020-11-13;1205.13
2020-11-20;1294.67
2020-11-27;1343.00
2020-12-04;1347.25
2020-12-11;1351.01
2020-12-18;1500.92
2020-12-25;1568.19
2021-01-01;1437.32
