Date;Value
2021-12-24;107.73;CAD
2021-12-31;106.84
2022-01-07;104.84
2022-01-14;103.81
2022-01-21;98.26
2022-01-28;100.44
2022-02-04;101.98
2022-02-11;99.92
2022-02-18;98.54
2022-02-25;98.93
2022-03-04;97.91
2022-03-11;95.16
2022-03-18;99.99
2022-03-25;100.44
2022-04-01;100.90
2022-04-08;99.99
2022-04-15;98.30
2022-04-22;96.42
2022-04-29;94.10
2022-05-06;94.31
2022-05-13;92.35
2022-05-20;89.03
2022-05-27;94.00
2022-06-03;92.00
2022-06-10;88.64
2022-06-17;85.25
2022-06-24;89.80
2022-07-01;86.54
2022-07-08;89.62
2022-07-15;89.25
2022-07-22;90.79
2022-07-29;93.74
2022-08-05;95.17
2022-08-12;97.06
2022-08-19;97.65
2022-08-26;94.07
2022-09-02;91.73
2022-09-09;94.24
2022-09-16;91.52
2022-09-23;89.44
2022-09-30;87.92
2022-10-07;88.74
2022-10-14;88.41
2022-10-21;90.82
2022-10-28;94.20
2022-11-04;90.25
2022-11-11;93.98
2022-11-18;94.35
2022-11-25;96.07
2022-12-02;97.56
2022-12-09;95.48
2022-12-16;93.90
2022-12-23;92.94
2022-12-30;92.17
2023-01-06;92.81
2023-01-13;94.96
2023-01-20;94.24
2023-01-27;96.10
2023-02-03;98.36
2023-02-10;96.88
2023-02-17;97.63
2023-02-24;95.99
2023-03-03;97.73
2023-03-10;95.09
2023-03-17;95.69
2023-03-24;96.66
2023-03-31;98.44
2023-04-07;97.91
2023-04-14;98.11
2023-04-21;99.24
2023-04-28;100.20
2023-05-05;98.16
2023-05-12;99.26
2023-05-19;100.58
